Time,Type,Instrument,Product,Qty.,Avg. price,Status
01/12/22 9:26,BUY,PSPPROJECT,CNC,50/50,640.45,COMPLETE
01/12/22 9:25,SELL,CUMMINSIND,CNC,50/50,1425,COMPLETE
01/12/22 9:23,SELL,HEG,CNC,50/50,1075,COMPLETE
01/12/22 9:21,SELL,RVNL,CNC,50/50,76.4,COMPLETE
01/12/22 9:19,SELL,HINDALCO,CNC,50/50,462.55,COMPLETE
01/12/22 9:19,SELL,INFY,CNC,50/50,1664,COMPLETE
01/12/22 9:19,SELL,HDFCBANK,CNC,50/50,1627.25,COMPLETE
01/12/22 9:18,SELL,AMIORG,CNC,50/50,981.08,COMPLETE
01/12/22 9:18,SELL,APLAPOLLO,CNC,50/50,1137.1,COMPLETE
01/12/22 9:18,BUY,GRAVITA,CNC,50/50,363.7,COMPLETE
01/12/22 9:18,BUY,RVNL,CNC,50/50,74.3,COMPLETE
01/12/22 9:18,BUY,ASTERDM,CNC,50/50,236.45,COMPLETE
01/12/22 9:18,BUY,KPRMILL,CNC,50/50,559.26,COMPLETE
01/12/22 9:18,BUY,HIGHENE,CNC,50/50,324.95,COMPLETE
01/12/22 9:18,BUY,UPL,CNC,50/50,785.95,COMPLETE
01/12/22 9:18,BUY,EXIDEIND,CNC,50/50,189.55,COMPLETE
01/12/22 9:18,BUY,TATAPOWER,CNC,50/50,225.4,COMPLETE
01/12/22 9:18,BUY,EVEREADY,CNC,50/50,351.84,COMPLETE
01/12/22 9:17,BUY,HEG,CNC,50/50,1071.73,COMPLETE
01/12/22 9:17,BUY,AMARAJABAT,CNC,50/50,654,COMPLETE
01/12/22 9:17,BUY,GRAPHITE,CNC,50/50,397.76,COMPLETE
01/12/22 9:17,BUY,ICICIBANK,CNC,50/50,953.7,COMPLETE
01/12/22 9:17,BUY,JKLAKSHMI,CNC,50/50,721.73,COMPLETE
01/12/22 9:17,BUY,ANDHRAPAP,CNC,50/50,431.47,COMPLETE
01/12/22 9:17,BUY,BANDHANBNK,CNC,50/50,240.6,COMPLETE
01/12/22 9:17,BUY,BCLIND,CNC,50/50,379.87,COMPLETE
01/12/22 9:17,BUY,PRICOLLTD,CNC,50/50,192.2,COMPLETE
01/12/22 9:17,BUY,GHCL,CNC,50/50,579.19,COMPLETE
01/12/22 9:17,BUY,DLF,CNC,50/50,404.15,COMPLETE
01/12/22 9:16,BUY,CUMMINSIND,CNC,50/50,1422.75,COMPLETE
01/12/22 9:16,BUY,IONEXCHANG,CNC,50/50,2733.34,COMPLETE
01/12/22 9:16,BUY,KRRAIL,CNC,50/50,64.95,COMPLETE
01/12/22 9:16,BUY,TECHNOE,CNC,50/50,314.5,COMPLETE
01/12/22 9:16,BUY,DELHIVERY,CNC,50/50,337.25,COMPLETE
01/12/22 9:16,BUY,TECHM,CNC,50/50,1102.78,COMPLETE
01/12/22 9:16,BUY,HINDALCO,CNC,50/50,458.8,COMPLETE
01/12/22 9:16,BUY,TATASTEEL,CNC,50/50,108.95,COMPLETE
01/12/22 9:16,BUY,PSPPROJECT,CNC,50/50,639.7,COMPLETE
01/12/22 9:16,BUY,AIRTELPP-E1,CNC,50/50,469.75,COMPLETE
01/12/22 9:16,BUY,HBLPOWER,CNC,50/50,115.1,COMPLETE
01/12/22 9:16,BUY,CHENNPETRO,CNC,50/50,216.35,COMPLETE
01/12/22 9:15,BUY,TATAMOTORS,CNC,50/50,442.5,COMPLETE
01/12/22 9:15,BUY,IIFL,CNC,50/50,472.75,COMPLETE
01/12/22 9:15,BUY,TDPOWERSYS,CNC,50/50,111.72,COMPLETE
01/12/22 9:15,BUY,POWERGRID,CNC,50/50,224.63,COMPLETE
01/12/22 9:15,BUY,TATACHEM,CNC,50/50,1042.49,COMPLETE
01/12/22 9:15,BUY,AMIORG,CNC,50/50,977.8,COMPLETE
01/12/22 9:15,BUY,INFY,CNC,50/50,1662,COMPLETE
01/12/22 9:15,BUY,HDFCBANK,CNC,50/50,1620.4,COMPLETE
