Time,Type,Instrument,Product,Qty.,Avg. price,Status
01/12/22 15:00,SELL,TDPOWERSYS,CNC,50/50,111.7,COMPLETE
01/12/22 14:54,SELL,KRRAIL,CNC,50/50,66.15,COMPLETE
01/12/22 14:53,SELL,TIDEWATER,CNC,0/50,1105,CANCELLED
01/12/22 14:53,SELL,ACC,CNC,0/50,2595,CANCELLED
01/12/22 14:53,SELL,EIMCOELECO,CNC,0/50,445,CANCELLED
01/12/22 14:53,SELL,MGL,CNC,0/50,915,CANCELLED
01/12/22 14:53,SELL,INDOCO,CNC,0/50,407,CANCELLED
01/12/22 14:53,SELL,EIDPARRY,CNC,0/50,614,CANCELLED
01/12/22 14:53,SELL,APLLTD,CNC,0/50,609,CANCELLED
01/12/22 14:53,SELL,COALINDIA,CNC,0/50,233,CANCELLED
01/12/22 14:53,SELL,UPL,CNC,0/50,790,CANCELLED
01/12/22 14:53,SELL,TDPOWERSYS,CNC,0/50,115,CANCELLED
01/12/22 14:53,SELL,TATAMOTORS,CNC,0/50,446,CANCELLED
01/12/22 14:53,SELL,PRICOLLTD,CNC,0/50,197,CANCELLED
01/12/22 14:53,SELL,POWERGRID,CNC,0/50,228,CANCELLED
01/12/22 14:53,SELL,KPRMILL,CNC,0/50,563,CANCELLED
01/12/22 14:53,SELL,HBLPOWER,CNC,0/50,118,CANCELLED
01/12/22 14:53,SELL,GRAVITA,CNC,0/50,367,CANCELLED
01/12/22 14:53,SELL,GRAPHITE,CNC,0/50,402,CANCELLED
01/12/22 14:53,SELL,GHCL,CNC,0/50,584,CANCELLED
01/12/22 14:53,SELL,EXIDEIND,CNC,0/50,192,CANCELLED
01/12/22 14:53,SELL,HIGHENE,CNC,0/50,327,CANCELLED
01/12/22 14:53,SELL,AMARAJABAT,CNC,0/50,657,CANCELLED
01/12/22 14:53,SELL,BANDHANBNK,CNC,0/50,242,CANCELLED
01/12/22 14:53,SELL,ASTERDM,CNC,0/50,239,CANCELLED
01/12/22 14:53,SELL,CHENNPETRO,CNC,0/50,218,CANCELLED
01/12/22 14:53,SELL,TATAPOWER,CNC,0/50,228,CANCELLED
01/12/22 14:53,SELL,ICICIBANK,CNC,0/50,958,CANCELLED
01/12/22 14:53,SELL,ANDHRAPAP,CNC,0/50,435,CANCELLED
01/12/22 14:53,SELL,TATASTEEL,CNC,50/50,110.95,COMPLETE
01/12/22 14:52,SELL,TATASTEEL,CNC,0/50,112,CANCELLED
01/12/22 14:52,SELL,POWERMECH,CNC,50/50,2259.19,COMPLETE
01/12/22 14:52,SELL,POWERMECH,CNC,0/50,2270,CANCELLED
01/12/22 14:24,SELL,AIRTELPP-E1,CNC,50/50,472,COMPLETE
01/12/22 14:19,SELL,DLF,CNC,50/50,408,COMPLETE
01/12/22 14:16,SELL,NATPLAS,CNC,1000/1000,40.34,COMPLETE
01/12/22 14:16,SELL,NATPLAS,CNC,0/1000,41,CANCELLED
01/12/22 12:23,SELL,BCLIND,CNC,50/50,382,COMPLETE
01/12/22 12:18,SELL,ANURAS,CNC,50/50,724,COMPLETE
01/12/22 12:18,SELL,RELIANCE,CNC,50/50,2750,COMPLETE
01/12/22 12:00,SELL,RHIM,CNC,50/50,807,COMPLETE
01/12/22 11:57,BUY,ANURAS,CNC,50/50,720.2,COMPLETE
01/12/22 11:54,BUY,RHIM,CNC,50/50,803.2,COMPLETE
01/12/22 11:43,BUY,TIDEWATER,CNC,50/50,1097.85,COMPLETE
01/12/22 11:40,SELL,LT,CNC,50/50,2098,COMPLETE
01/12/22 11:29,SELL,LGBBROSLTD,CNC,50/50,716,COMPLETE
01/12/22 11:24,SELL,AMIORG,CNC,50/50,998,COMPLETE
01/12/22 11:16,SELL,PSPPROJECT,CNC,100/100,642,COMPLETE
01/12/22 11:11,BUY,ACC,CNC,50/50,2586.15,COMPLETE
01/12/22 11:04,BUY,LT,CNC,50/50,2092.95,COMPLETE
01/12/22 10:59,SELL,HCLTECH,CNC,50/50,1140,COMPLETE
01/12/22 10:54,SELL,DELHIVERY,CNC,50/50,342,COMPLETE
01/12/22 10:54,BUY,LGBBROSLTD,CNC,50/50,713.87,COMPLETE
01/12/22 10:45,SELL,TATACHEM,CNC,50/50,1046,COMPLETE
01/12/22 10:43,SELL,AWL,CNC,50/50,662,COMPLETE
01/12/22 10:41,BUY,EIMCOELECO,CNC,50/50,441.95,COMPLETE
01/12/22 10:40,BUY,AWL,CNC,50/50,658.53,COMPLETE
01/12/22 10:36,BUY,HCLTECH,CNC,50/50,1135.48,COMPLETE
01/12/22 10:34,BUY,POWERMECH,CNC,50/50,2255.34,COMPLETE
01/12/22 10:33,BUY,RELIANCE,CNC,50/50,2744.05,COMPLETE
01/12/22 10:31,BUY,MGL,CNC,50/50,910.4,COMPLETE
01/12/22 10:00,SELL,EVEREADY,CNC,50/50,355,COMPLETE
01/12/22 9:54,SELL,IONEXCHANG,CNC,50/50,2745,COMPLETE
01/12/22 9:40,SELL,JKLAKSHMI,CNC,50/50,726,COMPLETE
01/12/22 9:38,SELL,TECHM,CNC,50/50,1106,COMPLETE
01/12/22 9:35,SELL,NATPLAS,CNC,0/1000,43,REJECTED
01/12/22 9:35,SELL,TECHNOE,CNC,50/50,319,COMPLETE
01/12/22 9:34,SELL,TECHNOE,CNC,0/50,319,REJECTED
01/12/22 9:34,SELL,TECHM,CNC,0/50,1107,REJECTED
01/12/22 9:33,SELL,TATAPOWER,CNC,0/50,228,REJECTED
01/12/22 9:33,SELL,PSPPROJECT,CNC,0/100,645,REJECTED
01/12/22 9:31,SELL,ICICIBANK,CNC,0/50,958,REJECTED
01/12/22 9:30,SELL,RVNL,CNC,50/50,77,COMPLETE
